Age	Gender	Marital Status	Address	Income	Income Category	Job Category
55	f	1	12	72.00	3.00	3
56	m	0	29	153.00	4.00	3
28	  f	no answer	9	28.00	2.00	1
24	m	1	4	26.00	2.00	1
25	   m	no answer	2	23.00	1.00	2
45	m	0	9	76.00	4.00	2
44	m	1	17	144.00	4.00	3
46	m	no answer	20	75.00	4.00	3
41	m	no answer	10	26.00	2.00	2
29	f	no answer	4	19.00	1.00	2
34	m	0	0	89.00	4.00	2
55	f	0	17	72.00	3.00	1
28	m	0	9	55.00	3.00	1
21	f	1	2	20.00	1.00	1
55	f	0	8	283.00	4.00	2
35	m	0	8	70.00	3.00	2
45	f	0	4	48.00	2.00	2
21	m	0	1	37.00	2.00	1
32	f	0	0	28.00	2.00	1
42	f	0	9	109.00	4.00	3
40	f	1	12	117.00	4.00	3
36	f	0	6	39.00	2.00	1
42	m	1	13	53.00	3.00	2
65	m	1	17	42.00	2.00	3
52	m	1	5	83.00	4.00	3
51	m	1	17	148.00	4.00	2
44	m	1	1	29.00	2.00	2
26	f	0	6	28.00	2.00	1
41	f	1	19	70.00	3.00	3
49	m	0	11	40.00	2.00	2
64	f	0	36	102.00	4.00	3
39	m	0	8	60.00	3.00	2
53	m	0	8	78.00	4.00	3
38	f	1	17	43.00	2.00	2
46	f	1	6	31.00	2.00	3
58	m	0	2	60.00	3.00	1
25	f	0	0	58.00	3.00	1
57	f	0	28	92.00	4.00	3
47	m	0	21	48.00	2.00	3
21	f	0	0	13.00	1.00	1
45	f	1	21	67.00	3.00	3
56	f	0	7	213.00	4.00	3
24	m	0	2	19.00	1.00	1
41	m	0	13	59.00	3.00	3
22	f	0	0	45.00	2.00	1
54	m	1	9	35.00	2.00	2
49	f	0	0	94.00	4.00	3
49	m	0	12	35.00	2.00	1
51	f	0	0	47.00	2.00	1
58	f	1	10	873.00	4.00	3
30	m	0	10	41.00	2.00	1
48	m	0	22	109.00	4.00	2
36	f	0	17	86.00	4.00	2
33	f	0	1	37.00	2.00	1
